customer_id,customer_name,email,location,signup_date
1,Allison Hill,christopher86@gmail.com,North Lindaville,2025-03-30
2,Noah Rhodes,cwood@gmail.com,Lake Allenchester,2023-07-29
3,Angie Henderson,omarshall@yahoo.com,South Karenside,2024-01-04
4,Daniel Wagner,karencontreras@barnett.biz,Lake Seanshire,2024-08-26
5,Cristian Santos,randallloretta@sheppard-mcdaniel.info,Lake Kellychester,2023-10-26
6,Connie Lawrence,zevans@johnson.org,East Kimberly,2024-11-27
7,Abigail Shaffer,averyshane@stanton.com,Wilsonfort,2024-01-26
8,Gina Moore,rmiller@harris-carson.com,West Tammymouth,2023-07-18
9,Gabrielle Davis,renee11@yahoo.com,Odonnellfurt,2024-07-16
10,Ryan Munoz,melissa87@gmail.com,West Kimberlyhaven,2023-12-19
11,Monica Herrera,perryeddie@hotmail.com,Josephview,2025-04-05
12,Jamie Arnold,hartcraig@dillon-beard.biz,Marychester,2024-12-18
13,Lisa Hensley,kpena@hotmail.com,North Rachel,2023-12-15
14,Michele Williams,jacksonrichard@hotmail.com,Johnsontown,2024-01-04
15,Dylan Miller,fosternatasha@hotmail.com,Port Nicholas,2025-05-07
16,Brian Ramirez,reesesamantha@smith-roth.com,Matthewshire,2023-12-20
17,Holly Wood,megan13@gmail.com,Allenfurt,2024-06-04
18,Derek Zuniga,uschroeder@yahoo.com,New Deanna,2024-11-12
19,Lisa Jackson,lopezjason@yahoo.com,Port Sarahchester,2025-03-19
20,Carla Gray,lori82@gmail.com,Lake Peter,2023-12-12
21,Margaret Hawkins DDS,htaylor@hotmail.com,South Rebecca,2023-10-18
22,Patty Perez,jameswhitaker@wright.com,South Jerry,2023-07-07
23,Ethan Adams,joshuacolon@hotmail.com,New David,2024-02-13
24,Tommy Walter,maldonadojohn@yahoo.com,Cameronview,2024-01-03
25,Matthew Foster,susanwells@hotmail.com,West James,2023-07-14
26,Judy Baker,frank41@yahoo.com,North Samuelshire,2025-04-24
27,Justin Baker,kwilliams@vincent.com,North Christine,2024-10-15
28,Stephanie Ross,denise80@smith.org,New Patrickberg,2024-07-07
29,Zachary Hicks,johnnytrujillo@marquez-fletcher.com,Waltersstad,2025-04-08
30,Anthony Rodriguez,dyork@yahoo.com,East Denise,2024-06-02
31,Rebecca Henderson,hturner@sanders.com,West James,2024-05-14
32,James Ferrell,gabrielle71@yahoo.com,Lake Kimberly,2024-09-02
33,Tricia Valencia,michelle44@gmail.com,Townsendton,2024-08-29
34,Nathan Maldonado,racheltrujillo@powell.com,Christopherberg,2024-09-11
35,Debra Davidson,jordan66@yahoo.com,Lake Traciville,2023-11-24
36,Jeffrey Chavez,matthewreeves@nichols.com,South Saraville,2024-05-13
37,Sherri Baker,marywalter@gmail.com,East Justinburgh,2023-11-19
38,Cassandra Gaines,ruizjoyce@hotmail.com,North Troystad,2025-04-16
39,Elizabeth Fowler,destiny35@garner.biz,South Craig,2024-08-03
40,Brittany Farmer,jorge47@gmail.com,South Charlesland,2024-09-21
41,Paula Moreno,delacruzbrandy@hotmail.com,Lake Robert,2024-05-03
42,Fred Smith,gpreston@dillon.net,Cynthiamouth,2024-10-27
43,Sherry Decker,jbrown@gmail.com,East Kent,2024-09-16
44,Anthony Humphrey,robert97@stewart.com,Lake Ashley,2025-05-18
